protocol_mode,packet_direction,packet_name
init,upstream,handshake
play,downstream,spawn_object
play,downstream,spawn_experience_orb
play,downstream,spawn_global_entity
play,downstream,spawn_mob
play,downstream,spawn_painting
play,downstream,spawn_player
play,downstream,animation
play,downstream,statistics
play,downstream,acknowledge_player_digging
play,downstream,block_break_animation
play,downstream,update_block_entity
play,downstream,block_action
play,downstream,block_change
play,downstream,boss_bar
play,downstream,server_difficulty
play,downstream,chat_message
play,downstream,multi_block_change
play,downstream,tab_complete
play,downstream,declare_commands
play,downstream,confirm_transaction
play,downstream,close_window
play,downstream,window_items
play,downstream,window_property
play,downstream,set_slot
play,downstream,set_cooldown
play,downstream,plugin_message
play,downstream,named_sound_effect
play,downstream,disconnect
play,downstream,entity_status
play,downstream,explosion
play,downstream,unload_chunk
play,downstream,change_game_state
play,downstream,open_horse_window
play,downstream,keep_alive
play,downstream,chunk_data
play,downstream,effect
play,downstream,particle
play,downstream,update_light
play,downstream,join_game
play,downstream,map
play,downstream,trade_list
play,downstream,entity_relative_move
play,downstream,entity_look_and_relative_move
play,downstream,entity_look
play,downstream,entity
play,downstream,vehicle_move
play,downstream,open_book
play,downstream,open_window
play,downstream,open_sign_editor
play,downstream,craft_recipe_response
play,downstream,player_abilities
play,downstream,combat_event
play,downstream,player_list_item
play,downstream,face_player
play,downstream,player_position_and_look
play,downstream,unlock_recipes
play,downstream,destroy_entities
play,downstream,remove_entity_effect
play,downstream,resource_pack_send
play,downstream,respawn
play,downstream,entity_head_look
play,downstream,select_advancement_tab
play,downstream,world_border
play,downstream,camera
play,downstream,held_item_change
play,downstream,update_view_position
play,downstream,update_view_distance
play,downstream,display_scoreboard
play,downstream,entity_metadata
play,downstream,attach_entity
play,downstream,entity_velocity
play,downstream,entity_equipment
play,downstream,set_experience
play,downstream,update_health
play,downstream,scoreboard_objective
play,downstream,set_passengers
play,downstream,teams
play,downstream,update_score
play,downstream,spawn_position
play,downstream,time_update
play,downstream,title
play,downstream,entity_sound_effect
play,downstream,sound_effect
play,downstream,stop_sound
play,downstream,player_list_header_footer
play,downstream,block_metadata_response
play,downstream,collect_item
play,downstream,entity_teleport
play,downstream,advancements
play,downstream,entity_properties
play,downstream,entity_effect
play,downstream,declare_recipes
play,downstream,tags
play,upstream,teleport_confirm
play,upstream,block_metadata_request
play,upstream,set_difficulty
play,upstream,chat_message
play,upstream,client_status
play,upstream,client_settings
play,upstream,tab_complete
play,upstream,confirm_transaction
play,upstream,enchant_item
play,upstream,click_window
play,upstream,close_window
play,upstream,plugin_message
play,upstream,edit_book
play,upstream,entity_metadata_request
play,upstream,use_entity
play,upstream,keep_alive
play,upstream,lock_difficulty
play,upstream,player_position
play,upstream,player_position_and_look
play,upstream,player_look
play,upstream,player
play,upstream,vehicle_move
play,upstream,steer_boat
play,upstream,pick_item
play,upstream,craft_recipe_request
play,upstream,player_abilities
play,upstream,player_digging
play,upstream,entity_action
play,upstream,steer_vehicle
play,upstream,crafting_book_data
play,upstream,name_item
play,upstream,resource_pack_status
play,upstream,advancement_tab
play,upstream,select_trade
play,upstream,set_beacon_effect
play,upstream,held_item_change
play,upstream,update_command_block
play,upstream,update_command_block_minecart
play,upstream,creative_inventory_action
play,upstream,update_jigsaw_block
play,upstream,update_structure_block
play,upstream,update_sign
play,upstream,animation
play,upstream,spectate
play,upstream,player_block_placement
play,upstream,use_item
status,downstream,status_response
status,downstream,status_pong
status,upstream,status_request
status,upstream,status_ping
login,downstream,login_disconnect
login,downstream,login_encryption_request
login,downstream,login_success
login,downstream,login_set_compression
login,downstream,login_plugin_request
login,upstream,login_start
login,upstream,login_encryption_response
login,upstream,login_plugin_response
